Card Category,Churn,Clientnum,Customer Age (bin),Education Level,Gender,Income,Marital Status,Balance,Credit Limit,Customer Age,Dependent count,Months on book,Utilization Ratio
Blue,Retained Customers,808897683,50,Graduate,M,$80K - $120K,Single,1406,30271,53,1,48,5%
Blue,Retained Customers,718939083,50,Graduate,F,Less than $40K,Married,306,1438.3,54,2,45,21%
Blue,Retained Customers,712979133,50,High School,M,$80K - $120K,Married,900,27560,55,4,41,3%
Blue,Attrited Customer,720071583,40,Unknown,F,Less than $40K,Married,800,7151,48,2,36,11%
Blue,Attrited Customer,812420358,60,Graduate,F,Less than $40K,Married,554,2122,61,0,56,26%
Blue,Attrited Customer,798792408,40,High School,M,$80K - $120K,Married,0,9959,48,3,42,0%
Blue,Retained Customers,711204483,50,High School,M,$60K - $80K,Married,1930,2340,56,4,46,83%
Blue,Attrited Customer,713945883,60,Graduate,F,Less than $40K,Married,513,2490,62,2,52,21%
Blue,Attrited Customer,789513858,40,Unknown,M,$40K - $60K,Married,0,1438.3,43,3,35,0%
Blue,Retained Customers,771963708,50,Unknown,M,$60K - $80K,Married,0,12248,56,3,45,0%
Blue,Retained Customers,712433508,50,Unknown,F,Unknown,Married,0,1438.3,59,1,50,0%
Blue,Attrited Customer,778506633,40,College,F,Less than $40K,Married,392,7706,43,4,23,5%
Blue,Retained Customers,713530833,50,Graduate,M,$40K - $60K,Married,2238,4085,58,2,48,55%
Blue,Attrited Customer,778699908,40,Unknown,M,$60K - $80K,Married,0,14447,43,2,24,0%
Blue,Retained Customers,716991933,50,Unknown,F,Less than $40K,Single,0,9786,53,3,35,0%
Blue,Attrited Customer,802002858,60,High School,F,Unknown,Married,0,8990,62,1,56,0%
Blue,Attrited Customer,712373208,40,Doctorate,M,$60K - $80K,Single,0,3312,43,3,35,0%
Blue,Retained Customers,708455883,50,Graduate,M,$80K - $120K,Single,861,10244,57,1,36,8%
Blue,Retained Customers,763895958,50,High School,M,$120K +,Married,0,7474,53,2,46,0%
Blue,Retained Customers,711927108,50,High School,M,$80K - $120K,Married,350,9457,54,3,36,4%
Blue,Attrited Customer,711147483,40,Graduate,F,Less than $40K,Single,1067,8551,46,3,28,13%
Blue,Retained Customers,720990183,50,High School,M,$60K - $80K,Married,0,14539,54,5,36,0%
Blue,Attrited Customer,716608608,40,Unknown,M,$80K - $120K,Married,1452,8004,41,2,33,18%
Blue,Retained Customers,788673708,50,High School,F,$40K - $60K,Married,0,1438.3,57,2,45,0%
Blue,Retained Customers,816600933,50,College,M,$80K - $120K,Married,0,14501,56,0,51,0%
Blue,Attrited Customer,714208533,40,High School,M,$60K - $80K,Married,288,8663,43,3,36,3%
Blue,Retained Customers,720426708,50,High School,M,$60K - $80K,Single,0,8512,56,3,45,0%
Blue,Retained Customers,708983658,50,Unknown,M,$120K +,Single,0,16868,51,2,39,0%
Blue,Attrited Customer,778663458,60,High School,M,Less than $40K,Married,0,1759,65,1,47,0%
Blue,Retained Customers,716024808,50,Graduate,M,$80K - $120K,Married,2418,4829,57,1,36,50%
Blue,Attrited Customer,721249158,40,Unknown,M,$60K - $80K,Single,0,6414,42,2,30,0%
Blue,Attrited Customer,713845083,40,High School,F,Less than $40K,Single,2517,4203,41,4,36,60%
Blue,Attrited Customer,813499458,40,High School,M,$60K - $80K,Unknown,0,1438.3,45,5,40,0%
Blue,Attrited Customer,785011383,30,Unknown,F,$40K - $60K,Divorced,0,2190,36,0,30,0%
Blue,Attrited Customer,718252533,30,Graduate,F,Less than $40K,Divorced,996,4203,30,0,18,24%
Blue,Attrited Customer,711843708,60,Graduate,F,Less than $40K,Divorced,0,2125,61,0,36,0%
Blue,Attrited Customer,816013383,60,Graduate,F,Less than $40K,Divorced,0,6184,65,0,56,0%
Blue,Attrited Customer,714726858,30,Post-Graduate,F,Less than $40K,Divorced,0,4871,31,0,36,0%
Blue,Retained Customers,709534083,50,Unknown,F,Less than $40K,Divorced,0,9909,58,0,36,0%
Blue,Attrited Customer,721406658,30,Unknown,F,Less than $40K,Divorced,0,1732,32,0,36,0%
Blue,Attrited Customer,712677633,40,Unknown,F,Unknown,Divorced,0,2712,42,0,31,0%
Blue,Attrited Customer,771783333,40,Unknown,F,$40K - $60K,Divorced,0,2173,49,1,37,0%
Blue,Attrited Customer,710015733,40,Doctorate,F,Less than $40K,Divorced,621,2029,41,1,30,31%
Blue,Retained Customers,715960308,50,Graduate,F,Less than $40K,Divorced,2517,4090,53,1,44,62%
Blue,Retained Customers,794172033,50,Post-Graduate,F,Less than $40K,Divorced,0,1817,58,1,52,0%
Blue,Attrited Customer,789212883,30,Unknown,F,Less than $40K,Divorced,0,1644,30,1,19,0%
Blue,Attrited Customer,713677158,30,Graduate,F,Unknown,Divorced,0,1623,31,1,22,0%
Blue,Retained Customers,827964858,50,Unknown,F,Unknown,Divorced,859,3266,58,1,54,26%
Blue,Attrited Customer,720049083,30,Unknown,F,Unknown,Divorced,0,1438.3,35,1,24,0%
Blue,Retained Customers,711949683,50,College,F,$40K - $60K,Divorced,2517,4410,55,2,36,57%
Blue,Attrited Customer,789637308,40,College,F,$40K - $60K,Divorced,0,3076,45,2,39,0%
Blue,Retained Customers,709745508,50,Unknown,F,$40K - $60K,Divorced,0,2295,58,2,47,0%
Blue,Attrited Customer,712843983,40,College,F,Less than $40K,Divorced,257,1569,41,2,36,16%
Blue,Attrited Customer,708804633,40,Doctorate,F,Less than $40K,Divorced,0,1916,44,2,36,0%
Blue,Attrited Customer,714620358,30,Graduate,F,Less than $40K,Divorced,2517,3328,37,2,30,76%
Blue,Attrited Customer,713466033,30,Graduate,F,Less than $40K,Divorced,0,2092,39,2,36,0%
Blue,Attrited Customer,708117933,40,Graduate,F,Less than $40K,Divorced,0,1880,44,2,36,0%
Blue,Retained Customers,809849358,50,Graduate,F,Less than $40K,Divorced,0,1720,55,2,50,0%
Blue,Attrited Customer,709101258,40,High School,F,Less than $40K,Divorced,524,1478,41,2,28,36%
Blue,Retained Customers,720251358,50,High School,F,Less than $40K,Divorced,2517,3591,54,2,36,70%
Blue,Attrited Customer,710289783,40,Unknown,F,Less than $40K,Divorced,2007,2086,43,2,25,96%
Blue,Attrited Customer,719577258,40,Unknown,F,Less than $40K,Divorced,0,6811,43,2,30,0%
Blue,Retained Customers,715847058,50,Unknown,F,Less than $40K,Divorced,1853,1863,59,2,36,100%
Blue,Attrited Customer,713722608,40,Unknown,F,Less than $40K,Divorced,2514,2806,48,2,35,90%
Blue,Retained Customers,720085233,50,Doctorate,F,Unknown,Divorced,2517,8930,51,2,40,28%
Blue,Attrited Customer,711399408,30,Graduate,F,Unknown,Divorced,0,12373,34,2,25,0%
Blue,Attrited Customer,712784058,40,High School,F,Unknown,Divorced,2517,17156,45,2,36,15%
Blue,Retained Customers,714629358,50,Graduate,F,$40K - $60K,Divorced,0,4948,54,3,34,0%
Blue,Attrited Customer,826709658,40,Graduate,F,$40K - $60K,Divorced,0,1477,45,3,41,0%
Blue,Attrited Customer,708575058,40,Unknown,F,$40K - $60K,Divorced,965,3157,46,3,39,31%
Blue,Attrited Customer,709232808,40,Unknown,F,$40K - $60K,Divorced,0,1689,44,3,34,0%
Blue,Attrited Customer,713847858,40,Graduate,F,Less than $40K,Divorced,0,1438.3,49,3,36,0%
Blue,Retained Customers,711267633,50,Graduate,F,Less than $40K,Divorced,316,4248,50,3,40,7%
Blue,Retained Customers,712395408,50,Graduate,F,Less than $40K,Divorced,691,1495,51,3,41,46%
Blue,Attrited Customer,779084208,40,High School,F,Less than $40K,Divorced,613,1662,43,3,24,37%
Blue,Attrited Customer,719384433,40,High School,F,Less than $40K,Divorced,1203,1877,44,3,28,64%
Blue,Attrited Customer,804462633,40,High School,F,Less than $40K,Divorced,0,7084,43,3,38,0%
Blue,Retained Customers,805524708,50,High School,F,Less than $40K,Divorced,2517,6629,52,3,47,38%
Blue,Attrited Customer,720597108,40,Post-Graduate,F,Less than $40K,Divorced,2138,9943,48,3,36,22%
Blue,Attrited Customer,709711758,40,Unknown,F,Less than $40K,Divorced,0,1942,45,3,32,0%
Blue,Attrited Customer,712721358,40,Unknown,F,Less than $40K,Divorced,2517,4073,48,3,36,62%
Blue,Attrited Customer,779530908,40,Unknown,F,Less than $40K,Divorced,0,1438.3,48,3,31,0%
Blue,Attrited Customer,718263108,40,Unknown,F,Less than $40K,Divorced,1457,1693,44,3,32,86%
Blue,Attrited Customer,713772333,40,Unknown,F,Less than $40K,Divorced,243,3223,45,3,34,8%
Blue,Retained Customers,716299608,50,Unknown,F,Less than $40K,Divorced,0,1508,58,3,36,0%
Blue,Attrited Customer,712046808,40,Doctorate,F,Unknown,Divorced,1558,3802,49,3,42,41%
Blue,Attrited Customer,717074283,40,Graduate,F,Unknown,Divorced,0,17678,45,3,37,0%
Blue,Retained Customers,714406158,50,High School,F,Unknown,Divorced,0,7939,53,3,36,0%
Blue,Attrited Customer,708706833,30,Unknown,F,Unknown,Divorced,0,2809,39,3,36,0%
Blue,Attrited Customer,712369308,40,Doctorate,F,$40K - $60K,Divorced,1047,3646,48,4,35,29%
Blue,Attrited Customer,708809283,40,Graduate,F,$40K - $60K,Divorced,2517,10360,41,4,33,24%
Blue,Attrited Customer,821759658,40,High School,F,$40K - $60K,Divorced,204,4650,41,4,37,4%
Blue,Attrited Customer,814483608,40,Graduate,F,Less than $40K,Divorced,2517,5798,47,4,42,43%
Blue,Attrited Customer,780660183,40,High School,F,Less than $40K,Divorced,0,8203,43,4,32,0%
Blue,Attrited Customer,716873733,40,Post-Graduate,F,Less than $40K,Divorced,2517,3556,43,4,30,71%
Blue,Attrited Customer,712740108,40,Unknown,F,Less than $40K,Divorced,0,1706,43,4,33,0%
Blue,Attrited Customer,713934633,40,Unknown,F,Less than $40K,Divorced,2517,4423,40,4,35,57%
Blue,Attrited Customer,711736083,40,College,F,Unknown,Divorced,274,6769,47,4,36,4%
Blue,Retained Customers,709961958,50,High School,F,Unknown,Divorced,2517,21065,58,4,45,12%
Blue,Retained Customers,719612583,50,Unknown,F,Unknown,Divorced,0,12091,52,4,42,0%
Blue,Attrited Customer,714487458,40,Graduate,F,$40K - $60K,Divorced,0,2920,49,5,40,0%
Blue,Attrited Customer,713229633,40,Unknown,F,$40K - $60K,Married,0,2759,45,0,30,0%
Blue,Attrited Customer,714076683,20,College,F,Less than $40K,Married,2517,3261,29,0,19,77%
Blue,Attrited Customer,827051808,40,College,F,Less than $40K,Married,1083,7499,44,0,40,14%
Blue,Attrited Customer,710895708,30,Doctorate,F,Less than $40K,Married,0,3876,35,0,27,0%
Blue,Retained Customers,719326758,50,Doctorate,F,Less than $40K,Married,1489,4353,52,0,36,34%
Blue,Attrited Customer,715445058,40,Doctorate,F,Less than $40K,Married,2517,3547,49,0,40,71%
Blue,Retained Customers,714372333,50,Doctorate,F,Less than $40K,Married,0,2302,59,0,52,0%
Blue,Retained Customers,778915233,50,Graduate,F,Less than $40K,Married,331,1757,51,0,32,19%
Blue,Attrited Customer,715547058,30,Graduate,F,Less than $40K,Married,0,2089,35,0,36,0%
Blue,Retained Customers,714520233,50,Graduate,F,Less than $40K,Married,0,1708,59,0,36,0%
Blue,Retained Customers,711684408,50,Graduate,F,Less than $40K,Married,1574,4935,50,0,38,32%
Blue,Attrited Customer,710754933,60,Graduate,F,Less than $40K,Married,0,1438.3,61,0,49,0%
Blue,Retained Customers,711159108,50,High School,F,Less than $40K,Married,396,7418,58,0,36,5%
Blue,Retained Customers,708731658,50,High School,F,Less than $40K,Married,0,1438.3,53,0,41,0%
Blue,Attrited Customer,780289308,60,High School,F,Less than $40K,Married,0,4130,61,0,47,0%
Blue,Attrited Customer,710153583,30,Unknown,F,Less than $40K,Married,0,6075,30,0,13,0%
Blue,Attrited Customer,712683633,30,Unknown,F,Less than $40K,Married,0,1438.3,32,0,36,0%
Blue,Attrited Customer,715154058,40,Unknown,F,Less than $40K,Married,2517,4982,49,0,39,51%
Blue,Retained Customers,719018208,50,Doctorate,F,Unknown,Married,0,7210,52,0,46,0%
Blue,Retained Customers,713144208,50,High School,F,Unknown,Married,568,9989,51,0,42,6%
Blue,Attrited Customer,820694133,60,High School,F,Unknown,Married,0,5549,60,0,55,0%
Blue,Attrited Customer,715014633,30,Unknown,F,Unknown,Married,0,8791,32,0,36,0%
Blue,Retained Customers,718404783,50,Unknown,F,Unknown,Married,0,6996,59,0,49,0%
Blue,Attrited Customer,708660408,40,College,F,$40K - $60K,Married,1689,1737,40,1,36,97%
Blue,Retained Customers,811475733,50,College,F,$40K - $60K,Married,0,3339,53,1,48,0%
Blue,Attrited Customer,796903083,40,Doctorate,F,$40K - $60K,Married,0,1438.3,47,1,36,0%
Blue,Attrited Customer,771733608,40,Graduate,F,$40K - $60K,Married,0,1438.3,47,1,35,0%
Blue,Retained Customers,714773508,50,Graduate,F,$40K - $60K,Married,351,1632,54,1,46,22%
Blue,Attrited Customer,715516458,40,High School,F,$40K - $60K,Married,2430,2705,42,1,36,90%
Blue,Retained Customers,789923058,50,High School,F,$40K - $60K,Married,0,1816,53,1,44,0%
Blue,Retained Customers,718742808,50,High School,F,$40K - $60K,Married,710,4629,55,1,46,15%
Blue,Attrited Customer,714078558,60,High School,F,$40K - $60K,Married,0,5249,62,1,53,0%
Blue,Attrited Customer,710493558,40,Post-Graduate,F,$40K - $60K,Married,0,1803,46,1,38,0%
Blue,Retained Customers,717575958,50,Post-Graduate,F,$40K - $60K,Married,479,1694,50,1,41,28%
Blue,Attrited Customer,715950483,30,Unknown,F,$40K - $60K,Married,725,2821,39,1,27,26%
Blue,Attrited Customer,715858008,40,Unknown,F,$40K - $60K,Married,2517,8061,49,1,39,31%
Blue,Attrited Customer,714595983,40,Unknown,F,$40K - $60K,Married,522,1438.3,49,1,41,36%
Blue,Attrited Customer,708703308,30,Unknown,F,$40K - $60K,Married,1707,2045,35,1,26,84%
Blue,Retained Customers,712925808,50,Unknown,F,$40K - $60K,Married,0,2710,51,1,36,0%
Blue,Retained Customers,808903308,50,Unknown,F,$40K - $60K,Married,0,2471,54,1,49,0%
Blue,Attrited Customer,715497558,40,College,F,Less than $40K,Married,0,3052,44,1,36,0%
Blue,Attrited Customer,789432033,30,Graduate,F,Less than $40K,Married,230,4065,32,1,23,6%
Blue,Attrited Customer,757710783,30,Graduate,F,Less than $40K,Married,0,1493,36,1,29,0%
Blue,Attrited Customer,710533233,30,Graduate,F,Less than $40K,Married,0,1438.3,38,1,29,0%
Blue,Attrited Customer,711871758,30,Graduate,F,Less than $40K,Married,2517,2905,30,1,36,87%
Blue,Attrited Customer,714602658,30,Graduate,F,Less than $40K,Married,0,1462,39,1,36,0%
Blue,Attrited Customer,709663608,40,Graduate,F,Less than $40K,Married,0,1536,43,1,36,0%
Blue,Retained Customers,714384783,50,Graduate,F,Less than $40K,Married,0,2468,59,1,36,0%
Blue,Retained Customers,718160358,50,Graduate,F,Less than $40K,Married,0,1438.3,51,1,39,0%
Blue,Attrited Customer,769438608,40,Graduate,F,Less than $40K,Married,860,1942,48,1,42,44%
Blue,Retained Customers,709362033,50,Graduate,F,Less than $40K,Married,0,1471,52,1,42,0%
Blue,Attrited Customer,784895358,40,Graduate,F,Less than $40K,Married,0,1938,49,1,43,0%
Blue,Retained Customers,719084358,50,Graduate,F,Less than $40K,Married,0,4232,55,1,46,0%
Blue,Retained Customers,714789033,50,Graduate,F,Less than $40K,Married,2517,3173,54,1,50,79%
Blue,Attrited Customer,787452333,30,High School,F,Less than $40K,Married,0,2024,39,1,25,0%
Blue,Attrited Customer,713381433,30,High School,F,Less than $40K,Married,731,4196,38,1,28,17%
Blue,Attrited Customer,716506083,40,High School,F,Less than $40K,Married,0,5409,44,1,36,0%
Blue,Attrited Customer,826421958,40,High School,F,Less than $40K,Married,0,1438.3,46,1,42,0%
Blue,Retained Customers,716688183,50,High School,F,Less than $40K,Married,1521,1665,51,1,43,91%
Blue,Retained Customers,709646433,50,High School,F,Less than $40K,Married,743,5043,59,1,50,15%
Blue,Attrited Customer,779844408,40,Post-Graduate,F,Less than $40K,Married,0,1438.3,43,1,27,0%
Blue,Retained Customers,714035283,50,Post-Graduate,F,Less than $40K,Married,2256,2802,56,1,36,81%
Blue,Attrited Customer,772127508,30,Unknown,F,Less than $40K,Married,0,1438.3,31,1,20,0%
Blue,Attrited Customer,714684933,40,Unknown,F,Less than $40K,Married,0,3680,40,1,28,0%
Blue,Retained Customers,711862533,50,Unknown,F,Less than $40K,Married,2000,2258,55,1,36,89%
Blue,Attrited Customer,711196458,30,Unknown,F,Less than $40K,Married,580,1621,38,1,20,36%
Blue,Retained Customers,778959258,50,Unknown,F,Less than $40K,Married,0,1438.3,51,1,32,0%
Blue,Attrited Customer,771284658,40,Unknown,F,Less than $40K,Married,896,1850,47,1,35,48%
Blue,Attrited Customer,716751858,30,Unknown,F,Less than $40K,Married,496,2401,34,1,36,21%
Blue,Attrited Customer,719495958,40,Unknown,F,Less than $40K,Married,0,2983,42,1,36,0%
Blue,Retained Customers,713608383,50,Unknown,F,Less than $40K,Married,0,1438.3,54,1,40,0%
Blue,Retained Customers,713253858,50,College,F,Unknown,Married,0,1461,50,1,37,0%
Blue,Retained Customers,771594783,50,College,F,Unknown,Married,0,1438.3,56,1,44,0%
Blue,Retained Customers,779841483,50,Doctorate,F,Unknown,Married,1424,12972,55,1,39,11%
Blue,Attrited Customer,711149133,30,Graduate,F,Unknown,Married,2517,4377,30,1,18,58%
Blue,Attrited Customer,708519108,40,Graduate,F,Unknown,Married,1576,2694,46,1,24,59%
Blue,Attrited Customer,714514008,30,Graduate,F,Unknown,Married,0,8953,38,1,29,0%
Blue,Retained Customers,713857758,50,Graduate,F,Unknown,Married,198,5842,53,1,36,3%
Blue,Retained Customers,716368008,50,Graduate,F,Unknown,Married,959,3137,54,1,36,31%
Blue,Retained Customers,720711483,50,High School,F,Unknown,Married,2517,3674,56,1,42,69%
Blue,Attrited Customer,711671058,40,Unknown,F,Unknown,Married,0,1438.3,48,1,38,0%
Blue,Retained Customers,827898033,50,Unknown,F,Unknown,Married,0,2912,54,1,50,0%
Blue,Retained Customers,818375733,50,College,F,$40K - $60K,Married,695,4882,51,2,46,14%
Blue,Attrited Customer,771061008,40,Doctorate,F,$40K - $60K,Married,0,2208,40,2,27,0%
Blue,Attrited Customer,778819083,40,Doctorate,F,$40K - $60K,Married,0,1604,41,2,33,0%
Blue,Retained Customers,709143183,50,Doctorate,F,$40K - $60K,Married,1605,1822,52,2,43,88%
Blue,Attrited Customer,778888083,40,Graduate,F,$40K - $60K,Married,0,4307,45,2,26,0%
Blue,Attrited Customer,714045783,30,Graduate,F,$40K - $60K,Married,1965,2547,37,2,29,77%
Blue,Attrited Customer,714549558,40,Graduate,F,$40K - $60K,Married,0,9576,41,2,32,0%
Blue,Attrited Customer,708918558,30,Graduate,F,$40K - $60K,Married,662,1959,37,2,36,34%
Blue,Attrited Customer,709612983,40,Graduate,F,$40K - $60K,Married,1828,2990,41,2,36,61%
Blue,Retained Customers,772574283,50,Graduate,F,$40K - $60K,Married,0,7191,50,2,40,0%
Blue,Retained Customers,717725433,50,Graduate,F,$40K - $60K,Married,0,1606,54,2,44,0%
Blue,Retained Customers,714097683,50,Graduate,F,$40K - $60K,Married,0,1809,55,2,49,0%
Blue,Attrited Customer,717412608,30,High School,F,$40K - $60K,Married,0,7225,38,2,28,0%
Blue,Attrited Customer,715499058,30,High School,F,$40K - $60K,Married,0,1848,36,2,36,0%
Blue,Retained Customers,709307808,50,High School,F,$40K - $60K,Married,0,4375,59,2,36,0%
Blue,Attrited Customer,780146658,40,Post-Graduate,F,$40K - $60K,Married,2517,3795,40,2,25,66%
Blue,Retained Customers,709178733,50,Post-Graduate,F,$40K - $60K,Married,1120,5527,50,2,36,20%
Blue,Retained Customers,711588708,50,Unknown,F,$40K - $60K,Married,458,1438.3,50,2,36,32%
Blue,Attrited Customer,720062508,30,Unknown,F,$40K - $60K,Married,0,1628,38,2,28,0%
Blue,Attrited Customer,715146558,30,College,F,Less than $40K,Married,0,1696,34,2,36,0%
Blue,Attrited Customer,712734933,40,College,F,Less than $40K,Married,0,4020,43,2,36,0%
Blue,Attrited Customer,714100008,40,College,F,Less than $40K,Married,2517,5667,47,2,36,44%
Blue,Retained Customers,717042333,50,College,F,Less than $40K,Married,0,1473,53,2,44,0%
Blue,Attrited Customer,709460883,30,Doctorate,F,Less than $40K,Married,0,1614,38,2,28,0%
Blue,Attrited Customer,770596458,40,Doctorate,F,Less than $40K,Married,2262,2704,45,2,31,84%
Blue,Attrited Customer,713949858,30,Doctorate,F,Less than $40K,Married,886,1438.3,39,2,36,62%
Blue,Attrited Customer,720991833,40,Doctorate,F,Less than $40K,Married,2090,2514,48,2,36,83%
Blue,Retained Customers,714503433,50,Doctorate,F,Less than $40K,Married,950,1615,57,2,36,59%
Blue,Retained Customers,772532208,50,Doctorate,F,Less than $40K,Married,916,6630,51,2,41,14%
Blue,Retained Customers,718863258,50,Doctorate,F,Less than $40K,Married,2517,3881,54,2,41,65%
